State,Abbreviation,Region,Biomass,Geothermal,Solar,Wind,Hydro,HPS,Coal,Petroleum,Gas,Nuclear,Other,RE Generation (MWh),RE Generation (MWh),Total Generation (MWh),of Total Generation,of Total Generation,Petroleum,Gas,Coal,Nuclear,Hydro,Renewables
Alabama,AL,Southeast,3291195.8979999996,0.0,0.0,0.0,11753493.366,0.0,55659872.11400001,163054.219,32369862.924999997,39716204.0,7136.532,3291195.8979999996,15044689.264,142960819.05400005,0.023021663696238537,0.10523645124275083,163054.219,32369862.924999997,55659872.11400001,39716204.0,11753493.366,3291195.8979999996
Alaska,AK,Alaska,4254.745,0.0,0.0,3062.442,1204550.392,0.0,566821.9689999999,1191884.1809999999,3571100.8159999996,0.0,0.0,7317.187,1211867.579,6541674.545000001,0.0011185495318767802,0.18525341954320654,1191884.1809999999,3571100.8159999996,566821.9689999999,0.0,1204550.392,7317.187
Arizona,AZ,West,159645.589,0.0,13759.445,9555.0,6348462.992,169480.0,39783825.82,67337.47,34852149.54699999,30661851.0,533.921,182960.034,6531423.026,112066600.78400001,0.001632600906247186,0.058281619860932776,67337.47,34852149.54699999,39783825.82,30661851.0,6348462.992,182960.034
Arkansas,AR,Southeast,1478309.6880000003,0.0,0.0,0.0,4195168.354,100365.0,25075250.305,87673.59199999999,11368417.102000002,15169966.0,24018.741,1478309.6880000003,5673478.042,57499168.782000005,0.025710105368736774,0.0986706097180325,87673.59199999999,11368417.102000002,25075250.305,15169966.0,4195168.354,1478309.6880000003
California,CA,California,6062630.317999999,13022835.745,611763.387,5764637.309,27707085.468,144453.0,1948279.0859999997,1638018.869,115749546.19700004,31734676.0,440323.36,25461866.758999996,53168952.227,204824248.7389999,0.12431080263082096,0.25958328935335806,1638018.869,115749546.19700004,1948279.0859999997,31734676.0,27707085.468,25461866.758999996
Colorado,CO,West,50527.669,0.0,16530.477,2942132.635,2058215.46,-108658.0,31641090.349000003,15552.499000000002,13802364.258999998,0.0,33632.811,3009190.781,5067406.241,50451388.159,0.059645351511763936,0.10044136397257937,15552.499000000002,13802364.258999998,31641090.349000003,0.0,2058215.46,3009190.781
Connecticut,CT,New England,753801.138,0.0,0.0,0.0,623122.58,5385.0,2453497.463,288349.38700000005,9678195.010999998,16657387.0,712522.0020000001,753801.138,1376923.7179999999,31172259.580999997,0.024181793303795475,0.04417144398602588,288349.38700000005,9678195.010999998,2453497.463,16657387.0,623122.58,753801.138
Delaware,DE,Mid Atlantic,138301.819,0.0,0.0,0.0,0.0,0.0,2910909.3020000006,268772.77599999995,1686773.2210000001,0.0,5876.944,138301.819,138301.819,5010634.062000002,0.027601660246726663,0.027601660246726663,268772.77599999995,1686773.2210000001,2910909.3020000006,0.0,0.0,138301.819
District of Columbia,DC,Mid Atlantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35499.0,0.0,0.0,0.0,0.0,0.0,35499.0,0.0,0.0,35499.0,0.0,0.0,0.0,0.0,0.0
Florida,FL,Florida,4237764.241,0.0,10225.0,0.0,244525.518,0.0,54052312.119,8962842.889,117733703.53099999,29336059.0,2576794.765,4247989.241,4492514.759000001,217154227.06300008,0.01956208404714861,0.020688129444961928,8962842.889,117733703.53099999,54052312.119,29336059.0,244525.518,4247989.241
Georgia,GA,Southeast,2931302.106,0.0,0.0,0.0,3055512.26,271988.0,69524670.45899999,644996.263,20301025.312999997,31682579.0,26647.589,2931302.106,5986814.366,128438720.99000001,0.022822573157110664,0.04661222347788812,644996.263,20301025.312999997,69524670.45899999,31682579.0,3055512.26,2931302.106
Hawaii,HI,Hawaii,294673.699,167591.0,24.619,213224.163,92854.714,0.0,1521169.308,8288819.352,40377.667,0.0,166283.765,675513.481,768368.1950000001,10785018.287000002,0.06263443074679322,0.07124403265279321,8288819.352,40377.667,1521169.308,0.0,92854.714,675513.481
Idaho,ID,West,477948.27599999995,107078.864,0.0,227027.926,9506509.948,0.0,72994.125,123.609,1549874.744,0.0,0.0,812055.0659999999,10318565.014,11941557.492,0.06800244160311747,0.8640887104477544,123.609,1549874.744,72994.125,0.0,9506509.948,812055.0659999999
