name,area,built,renovated,longitude,latitude
Energy Plant,39655.0,1931,2005,-76.93560621,38.985843
Service Building,84030.42,1940,1970,-76.93583014,38.98604212
Ritchie Coliseum,59791.0,1932,1996,-76.93644748,38.98503531
Building 006,17716.77,1957,1970,-76.93451746,38.98580036
Pocomoke Building,30045.91,1946,2013,-76.93711488,38.98295583
Annapolis Hall,22854.6,1988,1970,-76.94006097,38.98224713
Memorial Chapel,26271.59,1953,1970,-76.94087798,38.98415119
Patuxent Building,24568.2,1990,1970,-76.94347676,38.98863683
Building 011,9081.07,1968,1970,-76.93360751,38.986183200000006
Harford Hall,24549.0,1944,1982,-76.94088316,38.98251279
Calvert Hall,35764.0,1913,1984,-76.94230112,38.98292319
Baltimore Hall,21185.0,1920,1986,-76.9421946,38.98224258
Cecil Hall,20096.0,1959,1970,-76.94165468,38.98293746
Motorcycle Storage Building,416.0,1982,1970,-76.93620655,38.98570625
Prince Georges Hall,16099.39,1944,1984,-76.94181151,38.98260243
Kent Hall,17879.14,1944,1984,-76.94183178,38.98326722
Washington Hall,23792.0,1940,1986,-76.94134946,38.98182775
Allegany Hall,40300.0,1955,1986,-76.9414271,38.98156786
Charles Hall,19378.0,1955,1989,-76.94056019,38.98159724
South Campus Dining Hall,133845.0,1974,1989,-76.94368859,38.98305308
Howard Hall,7300.0,1940,1986,-76.94197232,38.98194960000001
Frederick Hall,16576.0,1948,1986,-76.94073788,38.98204309
Talbot Hall,9822.0,1948,1984,-76.94226416,38.98335959
Garrett Hall,17579.0,1948,1984,-76.94268706,38.98325535
Montgomery Hall,59825.0,1955,1989,-76.93932399,38.98201054
Jimenez Hall,65321.41,1962,1970,-76.94457654,38.98681079999999
Mckeldin Library,365865.12,1958,1990,-76.94510851,38.98596243
Plant Sciences Building,178661.36,1996,1970,-76.94134651,38.98876823
Shoemaker Building,25521.38,1932,2010,-76.94275271,38.98393825
Lefrak Hall,118952.58,1928,1978,-76.94370074,38.98368965
Van Munching Hall,290787.36,1992,2011,-76.94726353,38.98307695
Morrill Hall,16276.99,1898,1994,-76.94419656,38.98431213
Tydings Hall,101945.18,1961,1970,-76.94403257,38.98483804
Taliaferro Hall,47870.08,1909,2003,-76.94316195,38.98482168
Skinner Building,67192.35,1917,1992,-76.94185255,38.98485808
Instructional Television Facility,3082.0,1979,1970,-76.93832977,38.98956796
Marie Mount Hall,113267.76,1940,1980,-76.94079834,38.98498498
Woods Hall,24469.98,1948,1970,-76.94185996,38.98515257
Francis Scott Key Hall,52547.51,1932,2003,-76.94307811,38.98508553
Worcester Hall,33541.0,1959,1970,-76.94499237,38.9846399
"Clarence M. Mitchell, Jr. Building",45212.17,1958,1970,-76.9395328,38.98669587
Preinkert Hall,28236.54,1932,1952,-76.94621963,38.98446084
Hvac & Pm Storage Building,527.0,1988,1970,-76.94374307,38.98830244
Animal Care Storage Facility,864.0,1988,1970,-76.93829981,38.99190907
Chincoteague Hall,22563.13,1957,2011,-76.9445483,38.98522666
Anne Arundel Hall,36651.47,1937,1992,-76.94673578,38.98594664
Queen Annes Hall,36263.33,1949,2005,-76.94615003,38.98524063
St. Marys Hall,28770.0,1932,1989,-76.94559438,38.98697235
Somerset Hall,31196.0,1949,1999,-76.94557172,38.98502381
Dorchester Hall,35436.0,1959,1992,-76.94616306,38.98674231
Carroll Hall,26470.17,1955,1970,-76.94560873,38.98398767
Eppley Recreation Center,233420.91,1998,1970,-76.94528695,38.99360849
Wicomico Hall,27684.01,1955,1970,-76.94582188,38.98373372
Caroline Hall,26959.07,1955,1970,-76.94583209,38.98348149
Lee Building,42185.3,1969,1970,-76.93949488,38.98535895
H.j. Patterson Hall,118110.77,1937,2017,-76.94351541,38.98697234
Symons Hall,78248.05,1940,2000,-76.94076836,38.98707978
Main Administration Building,41298.72,1940,1964,-76.93979445,38.9860158
Reckord Armory,78615.0,1944,1970,-76.93894174,38.98602904
Turner Hall,25666.27,1923,1964,-76.93731954,38.98614661
Rossborough Inn,11558.37,1798,1970,-76.93768516,38.98530312
Wind Tunnel Building,31566.58,1950,1970,-76.9368613,38.98988165
John S. Toll Physics Building,230557.8,1953,1968,-76.94008000000002,38.98867731
J.m. Patterson Building,79247.9,1954,1976,-76.94024509999998,38.99050999
William E. Kirwan Hall,138852.05,1954,1982,-76.93920387,38.98863065
Institute For Physical Science & Tech,28534.29,1955,1970,-76.94098774,38.99092385
Central Animal Resources Facility,7162.84,1983,1970,-76.93837727,38.99169655
Martin Hall,158843.45,1950,1985,-76.93798776,38.98889806
Engineering Laboratory Building,85042.54,1950,1970,-76.93796759,38.98929867
Chemical & Nuclear Engineering Building,84877.19,1950,1970,-76.93921644,38.99058501
Chemistry Building,398391.59,1952,2002,-76.93965888,38.98959398
Engineering Annex,10888.46,1957,1969,-76.93694324,38.99071133
Cambridge Hall,55792.0,1962,2016,-76.94303926,38.99171629999999
Cambridge Community Center,40153.97,1962,1963,-76.94304089,38.9922039
Centreville Hall,128198.0,1962,1970,-76.94211076,38.99225105
Bel Air Hall,29090.0,1962,1970,-76.94262314,38.99280739
Agriculture Shed,2321.76,1938,1970,-76.94074554,38.99198557
Animal Science Service Building,1396.83,1940,1970,-76.94109343,38.99200338
Horse Barn,6918.54,1938,1970,-76.94080848,38.99168234
Sheep Barn,6151.96,1938,1970,-76.94146703,38.99167619
Cattle Barn,8064.35,1938,1970,-76.94045945,38.99239946
Physics Welding Shop,974.93,1970,1970,-76.93986153,38.98914088
A.v. Williams Building,236043.76,1988,1992,-76.9365261,38.99077389
Residential Facilities Building 116,1419.47,1987,1970,-76.93270882,38.98344604
Poultry Barn,1026.24,1949,1970,-76.94089889,38.99229501
Chestertown Hall,29090.0,1962,1970,-76.94345911,38.99280774
Cumberland Hall,124486.0,1963,1970,-76.94397454,38.99225327
Grounds Material & Equipment Building,7371.65,1988,1970,-76.94333984,38.995636
House 1,10594.0,1958,1992,-76.93667951,38.98467832
House 2,9144.0,1958,1992,-76.93619403,38.98462653
House 3,9464.0,1954,1991,-76.93562792,38.98462511
House 4,9464.0,1954,1991,-76.93514117,38.98462410000001
House 5,9464.0,1954,1990,-76.93463331,38.98458514
House 6,9464.0,1954,1990,-76.93418659,38.98431152
House 7,9464.0,1954,1990,-76.93404755,38.98394035
House 8,9464.0,1954,1998,-76.93418928,38.98356889
House 9,9464.0,1954,1997,-76.93463834,38.9832972
House 10,9464.0,1954,1997,-76.93514751,38.98326111
House 11,9464.0,1954,1995,-76.93563225,38.98326193
House 12,9464.0,1954,1995,-76.93619935,38.98326374
House 13,10624.0,1962,1993,-76.93669776,38.98326267
House 14,10690.0,1963,1993,-76.93719881,38.98321404
Health Center,55852.33,1964,2004,-76.94466193,38.98719487
Tawes Hall,164610.4,1965,2016,-76.94815327,38.98594742
Animal Sciences/agric. Engrg Bldg,195449.77,1970,1994,-76.93947754,38.9916418
Benjamin Building,112224.83,1966,1968,-76.94738051,38.98669349
Biology-psychology Building,242067.07,1971,1970,-76.94260223,38.98884260000001
Architecture Building,70150.35,1972,1970,-76.94763369,38.98431406
Parren J. Mitchell Art-sociology Building,159309.35,1976,1970,-76.94764622,38.98521433
Hornbake Library,279985.81,1972,1970,-76.94157514,38.98816441
Manufacturing Building,22149.65,1992,1970,-76.93942525,38.99286373
Arboretum Outreach Center,2512.0,1952,1970,-76.94873158,38.99192972
Varsity Sports Teamhouse,22857.04,1974,1978,-76.94518737,38.99005653
Bob 'turtle' Smith Stadium At Shipley Field,2640.26,1954,1970,-76.94456292,38.98884701
Cole Student Activities Building,206645.47,1956,1971,-76.94666871,38.98800195
Stamp Student Union,290173.0,1955,2002,-76.94473508,38.9881255
University House,15133.47,2012,1970,-76.95277175,38.98903508
Golf Course Driv. Range Cont. Bldg.,1131.11,1966,1970,-76.95501064,38.99079006
Golf Course Club House,25771.53,1999,1970,-76.95470394,38.99113487
Golf Course Maintenance Office,864.0,1967,1970,-76.95307899,38.99769058
Boat House,553.75,1964,1970,-76.95436808,38.99433391
House 170,10459.0,1959,2009,-76.93518042,38.981265
House 171,10445.0,1960,2012,-76.93562028,38.98136041
House 172,11712.0,1960,2009,-76.93606209999999,38.98142111
House 173,10273.0,1964,2010,-76.93631546,38.98076642
House 174,10372.0,1963,2010,-76.93588154,38.98065947
