building,date,lbs_c02
Energy Plant,2014-10-01T04:00:00.000Z,21360551.086453043
Energy Plant,2014-11-01T04:00:00.000Z,24896523.998345483
Energy Plant,2014-12-01T05:00:00.000Z,28616280.747556806
Energy Plant,2015-01-01T05:00:00.000Z,30817013.304149717
Energy Plant,2015-02-01T05:00:00.000Z,24892503.72821369
Energy Plant,2015-03-01T05:00:00.000Z,29643560.45207495
Energy Plant,2015-04-01T04:00:00.000Z,22309582.291006252
Energy Plant,2015-05-01T04:00:00.000Z,14516802.899426352
Energy Plant,2015-06-01T04:00:00.000Z,17373806.448000234
Energy Plant,2015-07-01T04:00:00.000Z,20043912.672067497
Energy Plant,2015-08-01T04:00:00.000Z,21095120.44790128
Energy Plant,2015-09-01T04:00:00.000Z,19900816.60343371
Energy Plant,2015-10-01T04:00:00.000Z,18585190.17657146
Energy Plant,2015-11-01T04:00:00.000Z,21807934.05836105
Energy Plant,2015-12-01T05:00:00.000Z,25864447.988761116
Energy Plant,2016-01-01T05:00:00.000Z,31221297.46946361
Energy Plant,2016-02-01T05:00:00.000Z,25470663.246418267
Energy Plant,2016-03-01T05:00:00.000Z,25729668.369450424
Energy Plant,2016-04-01T04:00:00.000Z,24626384.428825907
Energy Plant,2016-05-01T04:00:00.000Z,19724164.89434322
Energy Plant,2016-06-01T04:00:00.000Z,21456407.878402393
Energy Plant,2016-07-01T04:00:00.000Z,22090500.50919749
Energy Plant,2016-08-01T04:00:00.000Z,19121096.96177515
Energy Plant,2016-09-01T04:00:00.000Z,20747252.858862337
Energy Plant,2016-10-01T04:00:00.000Z,18354262.876794443
Energy Plant,2016-11-01T04:00:00.000Z,23039709.015994824
Energy Plant,2016-12-01T05:00:00.000Z,27378698.317246437
Energy Plant,2017-01-01T05:00:00.000Z,27420200.460028194
Energy Plant,2017-02-01T05:00:00.000Z,24266310.946253095
Energy Plant,2017-03-01T05:00:00.000Z,24800763.190385487
Energy Plant,2017-04-01T04:00:00.000Z,15568910.389983866
Energy Plant,2017-05-01T04:00:00.000Z,16225942.70066513
Energy Plant,2017-06-01T04:00:00.000Z,17058374.003806457
Energy Plant,2017-07-01T04:00:00.000Z,21853462.90064515
Energy Plant,2017-08-01T04:00:00.000Z,13756577.636790395
Energy Plant,2017-09-01T04:00:00.000Z,10299858.308425998
Energy Plant,2017-10-01T04:00:00.000Z,10739788.891864004
Energy Plant,2017-11-01T04:00:00.000Z,15675811.8605481
Energy Plant,2017-12-01T05:00:00.000Z,22319328.18059217
Energy Plant,2018-01-01T05:00:00.000Z,23628366.590458326
Energy Plant,2018-02-01T05:00:00.000Z,19585711.075344235
Energy Plant,2018-03-01T05:00:00.000Z,20884619.71952419
Energy Plant,2018-04-01T04:00:00.000Z,14721285.329431158
Energy Plant,2018-05-01T04:00:00.000Z,11298084.128482033
Energy Plant,2018-06-01T04:00:00.000Z,11477209.716460306
Energy Plant,2018-07-01T04:00:00.000Z,15150121.753445402
Energy Plant,2018-08-01T04:00:00.000Z,30028686.51597587
Energy Plant,2018-09-01T04:00:00.000Z,21858460.40024193
Energy Plant,2018-10-01T04:00:00.000Z,21152185.751508065
Energy Plant,2018-11-01T04:00:00.000Z,24980101.323237814
Energy Plant,2018-12-01T05:00:00.000Z,27307456.916591253
Energy Plant,2019-01-01T05:00:00.000Z,27642121.89065786
Energy Plant,2019-02-01T05:00:00.000Z,23578341.498941705
Energy Plant,2019-03-01T05:00:00.000Z,25715084.740877926
Energy Plant,2019-04-01T04:00:00.000Z,21116270.653064385
Energy Plant,2019-05-01T04:00:00.000Z,15737068.585629024
Energy Plant,2019-06-01T04:00:00.000Z,16658881.270620963
Energy Plant,2019-07-01T04:00:00.000Z,145202566.63487896
Energy Plant,2019-08-01T04:00:00.000Z,27768.48875
Energy Plant,2019-09-01T04:00:00.000Z,25614.303750000003
Energy Plant,2019-10-01T04:00:00.000Z,1188.45875
Service Building,2014-10-01T04:00:00.000Z,224759.29
Service Building,2014-11-01T04:00:00.000Z,198237.61000000002
Service Building,2014-12-01T05:00:00.000Z,218451.54
Service Building,2015-01-01T05:00:00.000Z,261890.65000000002
Service Building,2015-02-01T05:00:00.000Z,246456.65
Service Building,2015-03-01T05:00:00.000Z,198787.77000000002
Service Building,2015-04-01T04:00:00.000Z,176361.24000000002
Service Building,2015-05-01T04:00:00.000Z,224919.73
Service Building,2015-06-01T04:00:00.000Z,234505.82
Service Building,2015-07-01T04:00:00.000Z,208627.97
Service Building,2015-08-01T04:00:00.000Z,243729.09000000003
Service Building,2015-09-01T04:00:00.000Z,221495.7
Service Building,2015-10-01T04:00:00.000Z,227429.97000000003
Service Building,2015-11-01T04:00:00.000Z,226273.42
Service Building,2015-12-01T05:00:00.000Z,247817.10000000003
Service Building,2016-01-01T05:00:00.000Z,283756.35
Service Building,2016-02-01T05:00:00.000Z,171424.26
Service Building,2016-03-01T05:00:00.000Z,53553.10152
Service Building,2016-04-01T04:00:00.000Z,53164.389359999994
Service Building,2016-05-01T04:00:00.000Z,19797.942239999997
Service Building,2016-06-01T04:00:00.000Z,23491.181520000002
Service Building,2016-07-01T04:00:00.000Z,27156.144239999998
Service Building,2016-08-01T04:00:00.000Z,27799.636319999994
Service Building,2016-09-01T04:00:00.000Z,23897.81448
Service Building,2016-10-01T04:00:00.000Z,19515.978
Service Building,2016-11-01T04:00:00.000Z,15239.692079999999
Service Building,2016-12-01T05:00:00.000Z,13240.642319999997
Service Building,2017-01-01T05:00:00.000Z,18400.141439999996
Service Building,2017-02-01T05:00:00.000Z,17373.713759999995
Service Building,2017-03-01T05:00:00.000Z,14246.67295000025
Service Building,2017-04-01T04:00:00.000Z,82787.84457971055
Service Building,2017-05-01T04:00:00.000Z,214664.9814999155
Service Building,2017-06-01T04:00:00.000Z,106410.72
Service Building,2017-07-01T04:00:00.000Z,92935.05072
Service Building,2017-08-01T04:00:00.000Z,316626.39400000003
Service Building,2017-09-01T04:00:00.000Z,118815.69298600001
Service Building,2017-10-01T04:00:00.000Z,52493.61344
Service Building,2017-11-01T04:00:00.000Z,79313.2633600008
Service Building,2017-12-01T05:00:00.000Z,77100.77736000001
Service Building,2018-01-01T05:00:00.000Z,229725.63
Service Building,2018-02-01T05:00:00.000Z,203057.84
