building,date,kBtu
Energy Plant,2014-10-01T04:00:00.000Z,182020945.2181924
Energy Plant,2014-11-01T04:00:00.000Z,211736729.3638007
Energy Plant,2014-12-01T05:00:00.000Z,243448842.2277243
Energy Plant,2015-01-01T05:00:00.000Z,262687104.3363537
Energy Plant,2015-02-01T05:00:00.000Z,211458878.06154343
Energy Plant,2015-03-01T05:00:00.000Z,249864390.43286657
Energy Plant,2015-04-01T04:00:00.000Z,188255769.74420324
Energy Plant,2015-05-01T04:00:00.000Z,123776525.9265194
Energy Plant,2015-06-01T04:00:00.000Z,148410888.477951
Energy Plant,2015-07-01T04:00:00.000Z,171217417.64724174
Energy Plant,2015-08-01T04:00:00.000Z,180208973.54511413
Energy Plant,2015-09-01T04:00:00.000Z,170008324.95175502
Energy Plant,2015-10-01T04:00:00.000Z,158750437.69225284
Energy Plant,2015-11-01T04:00:00.000Z,186306312.18572378
Energy Plant,2015-12-01T05:00:00.000Z,219790839.59361753
Energy Plant,2016-01-01T05:00:00.000Z,264877306.9642594
Energy Plant,2016-02-01T05:00:00.000Z,215855344.17874444
Energy Plant,2016-03-01T05:00:00.000Z,218011854.87654963
Energy Plant,2016-04-01T04:00:00.000Z,207497009.12321517
Energy Plant,2016-05-01T04:00:00.000Z,165869632.48261565
Energy Plant,2016-06-01T04:00:00.000Z,183289675.72002265
Energy Plant,2016-07-01T04:00:00.000Z,188718130.7074699
Energy Plant,2016-08-01T04:00:00.000Z,163332913.5715734
Energy Plant,2016-09-01T04:00:00.000Z,177244578.4259837
Energy Plant,2016-10-01T04:00:00.000Z,156794461.39170387
Energy Plant,2016-11-01T04:00:00.000Z,196828388.02456376
Energy Plant,2016-12-01T05:00:00.000Z,233895795.35791728
Energy Plant,2017-01-01T05:00:00.000Z,234243554.4391283
Energy Plant,2017-02-01T05:00:00.000Z,207274931.5173772
Energy Plant,2017-03-01T05:00:00.000Z,211858430.64111894
Energy Plant,2017-04-01T04:00:00.000Z,132973134.72605294
Energy Plant,2017-05-01T04:00:00.000Z,138615507.0367247
Energy Plant,2017-06-01T04:00:00.000Z,145763222.67025253
Energy Plant,2017-07-01T04:00:00.000Z,186737093.35907608
Energy Plant,2017-08-01T04:00:00.000Z,117540747.66078286
Energy Plant,2017-09-01T04:00:00.000Z,87951504.13310327
Energy Plant,2017-10-01T04:00:00.000Z,91691122.79976681
Energy Plant,2017-11-01T04:00:00.000Z,133858324.41047303
Energy Plant,2017-12-01T05:00:00.000Z,190703131.37086788
Energy Plant,2018-01-01T05:00:00.000Z,201818331.16377625
Energy Plant,2018-02-01T05:00:00.000Z,167265227.3062624
Energy Plant,2018-03-01T05:00:00.000Z,178344795.3573733
Energy Plant,2018-04-01T04:00:00.000Z,125704786.77187681
Energy Plant,2018-05-01T04:00:00.000Z,96540602.12571932
Energy Plant,2018-06-01T04:00:00.000Z,97859741.4322988
Energy Plant,2018-07-01T04:00:00.000Z,129084051.22582181
Energy Plant,2018-08-01T04:00:00.000Z,256590239.73209786
Energy Plant,2018-09-01T04:00:00.000Z,186732264.06438428
Energy Plant,2018-10-01T04:00:00.000Z,180706062.00608495
Energy Plant,2018-11-01T04:00:00.000Z,213363240.50437123
Energy Plant,2018-12-01T05:00:00.000Z,232309408.30138358
Energy Plant,2019-01-01T05:00:00.000Z,235066963.9465039
Energy Plant,2019-02-01T05:00:00.000Z,200468918.44434723
Energy Plant,2019-03-01T05:00:00.000Z,218674824.1465165
Energy Plant,2019-04-01T04:00:00.000Z,180030330.70673478
Energy Plant,2019-05-01T04:00:00.000Z,134410457.28430492
Energy Plant,2019-06-01T04:00:00.000Z,142290758.33738852
Energy Plant,2019-07-01T04:00:00.000Z,1240708093.0806172
Energy Plant,2019-08-01T04:00:00.000Z,178773.61613612072
Energy Plant,2019-09-01T04:00:00.000Z,164904.96646838577
Energy Plant,2019-10-01T04:00:00.000Z,7651.301094522612
Service Building,2014-10-01T04:00:00.000Z,1479113.513709579
