name,area,built,renovated,longitude,latitude,image
Energy Plant,39655,1931,2005,-76.93560621,38.985842999999996,https://terpfootprints.umd.edu/images/buildings/energy_plant_001.png
Service Building,84030.42,1940,1970,-76.93583014,38.98604212,https://terpfootprints.umd.edu/images/buildings/service_building_003.png
Ritchie Coliseum,59791,1932,1996,-76.93644748,38.98503531,https://terpfootprints.umd.edu/images/buildings/ritchie_coliseum_004.png
Building 006,17716.77,1957,1970,-76.93451746,38.98580036,https://terpfootprints.umd.edu/images/buildings/building_006_006.png
Pocomoke Building,30045.91,1946,2013,-76.93711488,38.98295583,https://terpfootprints.umd.edu/images/buildings/pocomoke_building_007.png
Annapolis Hall,22854.6,1988,1970,-76.94006097,38.98224713,https://terpfootprints.umd.edu/images/buildings/annapolis_hall_008.png
Memorial Chapel,26271.59,1953,1970,-76.94087798,38.98415119,https://terpfootprints.umd.edu/images/buildings/memorial_chapel_009.png
Patuxent Building,24568.2,1990,1970,-76.94347676,38.98863683,https://terpfootprints.umd.edu/images/buildings/patuxent_building_010.png
Building 011,9081.07,1968,1970,-76.93360751,38.9861832,https://terpfootprints.umd.edu/images/buildings/building_011_011.png
Harford Hall,24549,1944,1982,-76.94088316,38.98251279,https://terpfootprints.umd.edu/images/buildings/harford_hall_014.png
Calvert Hall,35764,1913,1984,-76.94230112,38.98292319,https://terpfootprints.umd.edu/images/buildings/calvert_hall_015.png
Baltimore Hall,21185,1920,1986,-76.9421946,38.98224258,https://terpfootprints.umd.edu/images/buildings/baltimore_hall_016.png
Cecil Hall,20096,1959,1970,-76.94165468,38.98293746,https://terpfootprints.umd.edu/images/buildings/cecil_hall_017.png
Motorcycle Storage Building,416,1982,1970,-76.93620655,38.98570625,https://terpfootprints.umd.edu/images/buildings/motorcycle_storage_building_020.png
Prince Georges Hall,16099.39,1944,1984,-76.94181151,38.98260243,https://terpfootprints.umd.edu/images/buildings/prince_georges_hall_021.png
Kent Hall,17879.14,1944,1984,-76.94183178,38.98326722,https://terpfootprints.umd.edu/images/buildings/kent_hall_022.png
Washington Hall,23792,1940,1986,-76.94134946,38.98182775,https://terpfootprints.umd.edu/images/buildings/washington_hall_023.png
Allegany Hall,40300,1955,1986,-76.9414271,38.98156786,https://terpfootprints.umd.edu/images/buildings/allegany_hall_024.png
Charles Hall,19378,1955,1989,-76.94056019,38.98159724,https://terpfootprints.umd.edu/images/buildings/charles_hall_025.png
South Campus Dining Hall,133845,1974,1989,-76.94368859,38.98305308,https://terpfootprints.umd.edu/images/buildings/south_campus_dining_hall_026.png
Howard Hall,7300,1940,1986,-76.94197232,38.9819496,https://terpfootprints.umd.edu/images/buildings/howard_hall_028.png
Frederick Hall,16576,1948,1986,-76.94073788,38.98204309,https://terpfootprints.umd.edu/images/buildings/frederick_hall_029.png
Talbot Hall,9822,1948,1984,-76.94226416,38.98335959,https://terpfootprints.umd.edu/images/buildings/talbot_hall_030.png
Garrett Hall,17579,1948,1984,-76.94268706,38.98325535,https://terpfootprints.umd.edu/images/buildings/garrett_hall_031.png
Montgomery Hall,59825,1955,1989,-76.93932399,38.98201054,https://terpfootprints.umd.edu/images/buildings/montgomery_hall_032.png
Jimenez Hall,65321.41,1962,1970,-76.94457654,38.9868108,https://terpfootprints.umd.edu/images/buildings/jimenez_hall_034.png
Mckeldin Library,365865.12,1958,1990,-76.94510851,38.98596243,https://terpfootprints.umd.edu/images/buildings/mckeldin_library_035.png
Plant Sciences Building,178661.36,1996,1970,-76.94134651,38.98876823,https://terpfootprints.umd.edu/images/buildings/plant_sciences_building_036.png
Shoemaker Building,25521.38,1932,2010,-76.94275271,38.98393825,https://terpfootprints.umd.edu/images/buildings/shoemaker_building_037.png
Lefrak Hall,118952.58,1928,1978,-76.94370074,38.98368965,https://terpfootprints.umd.edu/images/buildings/lefrak_hall_038.png
